project_gid,name,n_completed,span_days,span_weeks,bulk_completion_frac,first_completed,last_completed,reliable
1208963580488220,Responsible and Ethical AI,151,350.674,50.096,0.0927,2025-01-19T20:26:33.034000+00:00,2026-01-05T12:36:35.004000+00:00,True
1209213189516073,ASCEND Engineering,85,445.005,63.572,0.0353,2025-01-27T14:14:10.299000+00:00,2026-04-17T14:21:21.135000+00:00,True
1209298164735103,AI for the Notre Dame Community,79,291.838,41.691,0.1646,2025-02-09T18:45:21.125000+00:00,2025-11-28T14:52:41.816000+00:00,True
1207728646024488,AI Video Series,76,121.964,17.423,0.1447,2024-07-05T15:41:26.268000+00:00,2024-11-04T14:49:31.329000+00:00,True
1209101623231546,Calc I Summer Online Asset Spreadsheet,76,0.001,0.0,0.5658,2025-06-23T18:12:08.114000+00:00,2025-06-23T18:13:57.364000+00:00,False
1208878713359040,3D Environments Summer Online,66,347.993,49.713,0.0455,2025-01-19T20:10:16.883000+00:00,2026-01-02T20:00:24.156000+00:00,True
1208014741125322,MSAN,60,373.975,53.425,0.1667,2024-08-09T21:00:52.095000+00:00,2025-08-18T20:24:29.083000+00:00,True
1208878713359035,Calc I Summer Online,54,170.819,24.403,0.2222,2025-01-19T20:18:35.105000+00:00,2025-07-09T15:57:56.759000+00:00,True
1207338575319394,ACE Ascent Phase III,50,70.87,10.124,0.36,2024-05-16T17:28:17.870000+00:00,2024-07-26T14:21:21.117000+00:00,True
1209679644127773,Radio Systems Course,50,284.21,40.601,0.04,2025-03-17T12:20:44.895000+00:00,2025-12-26T17:23:07.469000+00:00,True
1208255134984932,The Qur’an and the Bible (Gabriel Reynolds),42,258.728,36.961,0.0952,2024-10-14T01:03:55.089000+00:00,2025-06-29T18:32:34.921000+00:00,True
1205980079388145,Teaching Everyone,36,233.799,33.4,0.1389,2023-12-19T18:19:50.885000+00:00,2024-08-09T13:30:45.800000+00:00,True
1210202036254627,Sprint 2025: Lab Prep: Visualizing Success,35,232.249,33.178,0.1429,2025-05-15T14:02:18.680000+00:00,2026-01-02T20:00:41.686000+00:00,True
1207942229848224,National Education Opportunities Network (NEON),32,487.807,69.687,0.0625,2024-08-25T22:25:35.106000+00:00,2025-12-26T17:47:19.596000+00:00,True
1205095744696654,ACE Ascent Phase II,32,393.789,56.256,0.25,2023-07-19T19:39:09.228000+00:00,2024-08-16T14:35:32.176000+00:00,True
1206363761761978,Carbon Neutral,32,77.054,11.008,0.0938,2024-02-08T14:07:41.745000+00:00,2024-04-25T15:26:06.810000+00:00,True
1207817115500015,EIH Lab Video Series,32,92.39,13.199,0.25,2024-07-25T02:44:18.792000+00:00,2024-10-25T12:05:38.802000+00:00,True
1208981515547171,Radio Systems MVP,30,38.068,5.438,0.1333,2025-02-04T13:37:34.833000+00:00,2025-03-14T15:15:25.689000+00:00,True
1208344673489500,MSAN Asset Spreadsheet,27,94.233,13.462,0.6296,2025-01-23T19:31:13.328000+00:00,2025-04-28T01:06:22.432000+00:00,False
1209116404156395,3D Environments Asset Spreadsheet,26,34.979,4.997,0.5,2025-08-18T14:04:27.881000+00:00,2025-09-22T13:34:18.896000+00:00,True
1208335647365608,MSAN II,26,294.099,42.014,0.1538,2024-10-25T12:41:21.984000+00:00,2025-08-15T15:03:41.167000+00:00,True
1208255134985064,ODL Podcast,25,592.075,84.582,0.12,2024-09-19T13:17:44.154000+00:00,2026-05-04T15:05:14.625000+00:00,True
1211489930659695,MS-ACMS Faculty Videos,25,76.993,10.999,0.12,2025-09-29T02:31:02.282000+00:00,2025-12-15T02:20:35.512000+00:00,True
1206434839973092,Project Requests & Intake,24,26.802,3.829,0.3333,2024-01-30T20:42:18.970000+00:00,2024-02-26T15:57:34.652000+00:00,True
1209877147787619,Study Abroad,24,54.89,7.841,0.2083,2025-06-20T21:22:35.088000+00:00,2025-08-14T18:44:30.385000+00:00,True
1212343204566399,ASCEND MCOB,23,184.972,26.425,0.3478,2025-12-08T19:46:50.212000+00:00,2026-06-11T19:06:32.871000+00:00,True
1207967599155608,Online Pedagogy Course,20,219.901,31.414,0.25,2024-08-02T22:14:53.557000+00:00,2025-03-10T19:52:54.553000+00:00,True
1208622917750063,ACE Assessment Course Redesign,20,72.246,10.321,0.2,2025-02-04T14:42:53.344000+00:00,2025-04-17T20:36:53.034000+00:00,True
1208335647365619,Virtual Borders,19,128.249,18.321,0.3158,2024-10-22T11:36:42.922000+00:00,2025-02-27T17:34:59.484000+00:00,True
1207907772727914,ND Elevate Updates,18,163.44,23.349,0.2222,2024-09-27T15:51:22.798000+00:00,2025-03-10T02:24:48.826000+00:00,True
1210951195644528,LD Projects,18,166.924,23.846,0.0556,2025-08-01T17:32:41.248000+00:00,2026-01-15T15:42:39.087000+00:00,True
1211134268245785,ACE Higher Powered Learning (HPL),18,136.966,19.567,0.2222,2025-08-25T20:21:06.829000+00:00,2026-01-09T19:32:40.998000+00:00,True
1211900372320318,C2D: Cybertraining for Chemical Data scientists,18,55.12,7.874,0.5556,2026-03-20T15:30:32.732000+00:00,2026-05-14T18:22:40.784000+00:00,False
1209417474929053,Business on the Frontlines XR,17,69.972,9.996,0.2353,2025-02-24T14:15:07.126000+00:00,2025-05-05T13:34:31.590000+00:00,True
1209897970646083,Multimedia Writing and Rhetoric,17,17.885,2.555,0.2941,2025-06-09T14:08:26.682000+00:00,2025-06-27T11:22:54.594000+00:00,True
1207760971753765,XR Spanish Escape Room,15,146.643,20.949,0.4,2024-07-15T14:07:20.594000+00:00,2024-12-09T05:33:19.504000+00:00,True
1209243150458199,PIE Video #3,15,92.884,13.269,0.5333,2025-01-27T14:42:53.431000+00:00,2025-04-30T11:55:10.603000+00:00,False
1212638028070139,CIF Video,14,0.001,0.0,0.7857,2026-04-29T14:27:36.002000+00:00,2026-04-29T14:28:58.064000+00:00,False
1209018174328538,ACE Assessment Modules Asset Spreadsheet,13,0.0,0.0,1.0,2025-04-16T17:58:28.497000+00:00,2025-04-16T17:58:37.387000+00:00,False
1211653962736510,Business for Humans | Sheedy Family Program,13,79.924,11.418,0.5385,2026-03-20T15:27:05.274000+00:00,2026-06-08T13:37:51.972000+00:00,False
1207817115500019,Equity XR,13,177.113,25.302,0.2308,2024-10-07T14:01:32.702000+00:00,2025-04-02T16:44:01.886000+00:00,True
1209419538333955,Insect Podcast Consult,13,45.161,6.452,0.3077,2025-02-19T15:54:04.769000+00:00,2025-04-05T19:45:17.666000+00:00,True
1210225716846542,Sprint 2025 - Bringing Korean to Life - Yeonhee Yoon,13,83.991,11.999,0.4615,2025-05-19T13:21:49.623000+00:00,2025-08-11T13:08:25.893000+00:00,True
1207817115500023,Innovation and Design Thinking XR,12,53.762,7.68,0.0833,2024-08-14T23:21:26.008000+00:00,2024-10-07T17:38:34+00:00,True
1210225716846536,Sprint 2025 - Digital Accessibility - Whitney James,12,72.356,10.337,0.4167,2025-05-16T14:07:47.878000+00:00,2025-07-27T22:39:57.002000+00:00,True
1207473416887601,Sprint: Interactive (Elena),11,97.378,13.911,0.2727,2024-06-03T16:52:36.027000+00:00,2024-09-09T01:56:37.351000+00:00,True
1207760971753758,Consultations,11,65.18,9.311,0.1818,2024-07-15T14:30:48.921000+00:00,2024-09-18T18:49:19.757000+00:00,True
1208875960377620,Program for Inclusive Education (PIE) Video #2,11,27.019,3.86,0.6364,2025-01-10T18:56:03.992000+00:00,2025-02-06T19:23:48.006000+00:00,False
1207760971753716,FCTA - Physics I,10,135.968,19.424,0.2,2025-08-24T21:31:59.570000+00:00,2026-01-07T20:46:07.377000+00:00,True
1207816481565083,Gen Chem Intro Video,10,13.892,1.985,0.4,2024-08-07T18:33:19.789000+00:00,2024-08-21T15:57:16.345000+00:00,True
1213077276586762,FCTA - Physics II,10,0.0,0.0,1.0,2026-02-02T03:52:44.093000+00:00,2026-02-02T03:52:49.939000+00:00,False
1208711008179173,AI Video Series - Karla,10,0.001,0.0,0.9,2024-12-02T19:45:30.841000+00:00,2024-12-02T19:47:31.102000+00:00,False
1206407681046274,Summer Online 2024,9,96.077,13.725,0.3333,2024-01-24T16:26:17.525000+00:00,2024-04-29T18:16:58.040000+00:00,True
1207833209424691,Military Testimonial,9,76.933,10.99,0.3333,2024-07-29T15:13:07.706000+00:00,2024-10-14T13:36:18.173000+00:00,True
1211900373500710,I CAN HELP Learning Modules,9,98.135,14.019,0.3333,2025-10-16T17:28:24.775000+00:00,2026-01-22T20:42:31.037000+00:00,True
1209417479528380,Videos for Eva,9,91.107,13.015,0.2222,2025-02-17T15:23:37.598000+00:00,2025-05-19T17:58:08.497000+00:00,True
1206425015213615,XR Overview (Spring 24),8,0.006,0.001,0.625,2024-01-24T01:43:21.592000+00:00,2024-01-24T01:51:30.659000+00:00,False
1207984230724068,Summer Online 2025,8,37.955,5.422,0.125,2025-02-04T13:51:53.509000+00:00,2025-03-14T12:46:58.185000+00:00,True
1208255134985069,Travel Safety 101,8,120.081,17.154,0.5,2024-11-05T17:45:00.782000+00:00,2025-03-05T19:41:02.463000+00:00,True
1209243150458283,XR for Law - Car Crash,8,56.95,8.136,0.625,2025-01-27T14:49:43.759000+00:00,2025-03-25T13:38:14.020000+00:00,False
1210225716846547,Sprint 2025 - VR in Global Health Training - Elizabeth Wood,8,19.438,2.777,0.625,2025-06-23T17:02:06.579000+00:00,2025-07-13T03:32:47.966000+00:00,False
1207906802350226,FA Faculty Workshop Series,7,98.021,14.003,0.2857,2024-08-02T17:17:19.626000+00:00,2024-11-08T17:46:59.818000+00:00,True
1207942229848234,Digital Learning Task Force,7,69.995,9.999,0.1429,2024-09-06T13:50:01.378000+00:00,2024-11-15T13:42:18.964000+00:00,True
