gid,name,logged_hours,reason
1209298165345682,PM Projects,271.6,NEW project with logged time but no registry row -- add archetype + is_course_dev to project_registry.csv
1211385006360353,Veterans College Math Readiness Course,108.83,NEW project with logged time but no registry row -- add archetype + is_course_dev to project_registry.csv
1210576824930050,Spectrum X Consultation,51.74,NEW project with logged time but no registry row -- add archetype + is_course_dev to project_registry.csv
1211154824956969,Force for Good Video Project,45.09,NEW project with logged time but no registry row -- add archetype + is_course_dev to project_registry.csv
1209103142080500,Lawrence Time and Capacity Tracking Part 1,43.75,NEW project with logged time but no registry row -- add archetype + is_course_dev to project_registry.csv
1210202036254651,Sprint 2025: Statistics Flipped Class,33.34,NEW project with logged time but no registry row -- add archetype + is_course_dev to project_registry.csv
1209254874093285,Colin's Projects,19.85,NEW project with logged time but no registry row -- add archetype + is_course_dev to project_registry.csv
1209103283248265,Lawrence Time and Capacity Tracking Part 2 January 13 - 17,19.08,NEW project with logged time but no registry row -- add archetype + is_course_dev to project_registry.csv
1210202036254727,Sprint 2025: AI Tutor--Critical Thinking,12.75,NEW project with logged time but no registry row -- add archetype + is_course_dev to project_registry.csv
1210202036254791,Sprint 2025: Transforming FIN / MSBR Course,9.75,NEW project with logged time but no registry row -- add archetype + is_course_dev to project_registry.csv
1209140307416568,Detailed Time Tracking,8.83,NEW project with logged time but no registry row -- add archetype + is_course_dev to project_registry.csv
1214783923511442,Sprint - Free-Body Diagram Visualization and Mastery,8.5,NEW project with logged time but no registry row -- add archetype + is_course_dev to project_registry.csv
1207760971753624,Program for Inclusive Education (PIE) Videos,7.5,NEW project with logged time but no registry row -- add archetype + is_course_dev to project_registry.csv
1208031565604539,ACE Ascent Phase IV,7.08,NEW project with logged time but no registry row -- add archetype + is_course_dev to project_registry.csv
1207473416887619,Sprint: Molecular Neuroscience (Branco),4.52,NEW project with logged time but no registry row -- add archetype + is_course_dev to project_registry.csv
1213084870202768,Beginning Italian 1,4.0,NEW project with logged time but no registry row -- add archetype + is_course_dev to project_registry.csv
