project_gid,name,phase,n_completed,span_days,bulk_completion_frac,project_reliable,first_completed,last_completed
1209298165345682,PM Projects,Evaluation,38,287.047,0.0263,True,2025-03-14T16:42:24.682000+00:00,2025-12-26T17:49:50.748000+00:00
1209298165345682,PM Projects,Other,30,273.016,0.0667,True,2025-02-06T20:30:03.361000+00:00,2025-11-06T20:52:53.649000+00:00
1209298165345682,PM Projects,Production,11,146.803,0.1818,True,2025-04-05T18:46:26.241000+00:00,2025-08-30T14:02:31.177000+00:00
1208963580488220,Responsible and Ethical AI,Design,6,207.836,0.5,True,2025-04-16T18:37:23.193000+00:00,2025-11-10T14:41:22.146000+00:00
1208963580488220,Responsible and Ethical AI,Discovery,7,68.85,0.4286,True,2025-01-19T20:26:33.034000+00:00,2025-03-29T16:50:56.314000+00:00
1208963580488220,Responsible and Ethical AI,Post-Production,51,165.636,0.2549,True,2025-05-28T23:26:02.445000+00:00,2025-11-10T14:41:52.908000+00:00
1208963580488220,Responsible and Ethical AI,Pre-Production,20,100.343,0.2,True,2025-04-22T16:26:17.188000+00:00,2025-08-01T00:40:51.209000+00:00
1208963580488220,Responsible and Ethical AI,Production,14,73.893,0.5,True,2025-08-28T17:15:22.675000+00:00,2025-11-10T14:41:33.320000+00:00
1209213189516073,ASCEND Engineering,Design,3,78.189,0.3333,True,2025-01-27T14:14:10.299000+00:00,2025-04-15T18:46:38.084000+00:00
1209213189516073,ASCEND Engineering,Evaluation,4,9.263,0.5,True,2025-11-10T13:00:05.540000+00:00,2025-11-19T19:18:08.918000+00:00
1209213189516073,ASCEND Engineering,Other,10,83.965,0.2,True,2026-01-23T15:11:12.791000+00:00,2026-04-17T14:21:21.135000+00:00
1209213189516073,ASCEND Engineering,Post-Production,9,50.787,0.2222,True,2025-04-15T16:54:10.744000+00:00,2025-06-05T11:47:48.774000+00:00
1209213189516073,ASCEND Engineering,Production,4,27.974,0.5,True,2025-03-27T16:23:17.102000+00:00,2025-04-24T15:45:17.396000+00:00
1209298164735103,AI for the Notre Dame Community,Design,8,133.821,0.5,True,2025-05-18T18:35:01.932000+00:00,2025-09-29T14:17:30.144000+00:00
1209298164735103,AI for the Notre Dame Community,Evaluation,4,15.777,0.5,True,2025-09-21T18:09:58.733000+00:00,2025-10-07T12:48:29.232000+00:00
1209298164735103,AI for the Notre Dame Community,Pre-Production,4,76.873,0.5,True,2025-07-14T17:20:13.647000+00:00,2025-09-29T14:17:25.865000+00:00
1209298164735103,AI for the Notre Dame Community,Production,10,83.637,0.5,True,2025-07-07T23:00:13.079000+00:00,2025-09-29T14:17:04.449000+00:00
1207728646024488,AI Video Series,Development/Build,10,24.164,0.3,True,2024-08-06T14:52:12.415000+00:00,2024-08-30T18:48:04.764000+00:00
1207728646024488,AI Video Series,Production,66,121.964,0.1667,True,2024-07-05T15:41:26.268000+00:00,2024-11-04T14:49:31.329000+00:00
1208878713359040,3D Environments Summer Online,Discovery,7,15.724,0.2857,True,2025-01-19T20:10:16.883000+00:00,2025-02-04T13:33:26.111000+00:00
1208878713359040,3D Environments Summer Online,Post-Production,6,66.978,0.3333,True,2025-09-04T13:32:09.893000+00:00,2025-11-10T13:00:41.859000+00:00
1208878713359040,3D Environments Summer Online,Pre-Production,3,229.82,0.3333,True,2025-01-24T17:48:39.442000+00:00,2025-09-11T13:29:27.866000+00:00
1208878713359040,3D Environments Summer Online,QA & Launch,4,156.357,0.25,True,2025-07-30T11:26:40.945000+00:00,2026-01-02T20:00:24.156000+00:00
1208014741125322,MSAN,Development/Build,6,161.024,0.5,True,2025-03-10T19:49:49.884000+00:00,2025-08-18T20:24:29.083000+00:00
