project_gid,project_name,custom_field_gid,custom_field_name,resource_subtype,display_value,text_value,number_value,enum_value,multi_enum_values,date_value,people_value,reference_value
1206407681046274,Summer Online 2024,1207760971753571,Progress,enum,Evaluation,,,Evaluation,,,,
1206407681046274,Summer Online 2024,1207789348846048,Weekly Meeting Status,enum,Complete!,,,Complete!,,,,
1206407681046274,Summer Online 2024,1207867857544034,Project Point Person,people,Brianna Stines,,,,,,Brianna Stines,
1206407681046274,Summer Online 2024,1206060337251839,Priority,enum,,,,,,,,
1206407681046274,Summer Online 2024,1208711651902976,End Date,date,,,,,,,,
1206407681046274,Summer Online 2024,1208664289280378,Actual time rollup,number,,,,,,,,
1206407681046274,Summer Online 2024,1207789356643216,Project Type,enum,Signature Project,,,Signature Project,,,,
1206407681046274,Summer Online 2024,1208709671963773,Started Range,enum,June 2024 - Dec 2024,,,June 2024 - Dec 2024,,,,
1206407681046274,Summer Online 2024,1209308807420092,Post-Project Status,enum,No report produced,,,No report produced,,,,
1206407681046274,Summer Online 2024,1209399038539552,Type of Project,enum,Special Project / Internal NDL Project,,,Special Project / Internal NDL Project,,,,
1206407681046274,Summer Online 2024,1209399102904553,Faculty Members,text,n/a,n/a,,,,,,
1206407681046274,Summer Online 2024,1209784442313102,Project Members,people,"Brianna Stines, Yi Lu, Kuangchen Hsu",,,,,,"Brianna Stines, Yi Lu, Kuangchen Hsu",
1206407681046274,Summer Online 2024,1209399337932343,Credit Bearing?,enum,No,,,No,,,,
1206407681046274,Summer Online 2024,1209399100804462,Estimated T-Shirt Size,enum,Unique,,,Unique,,,,
1207338575319394,ACE Ascent Phase III,1207760971753571,Progress,enum,Launch,,,Launch,,,,
1207338575319394,ACE Ascent Phase III,1207789348846048,Weekly Meeting Status,enum,Complete!,,,Complete!,,,,
1207338575319394,ACE Ascent Phase III,1207867857544034,Project Point Person,people,Brianna Stines,,,,,,Brianna Stines,
1207338575319394,ACE Ascent Phase III,1206060337251839,Priority,enum,,,,,,,,
1207338575319394,ACE Ascent Phase III,1208711651902976,End Date,date,,,,,,,,
1207338575319394,ACE Ascent Phase III,1208664289280378,Actual time rollup,number,,,,,,,,
1207338575319394,ACE Ascent Phase III,1207789356643216,Project Type,enum,Signature Project,,,Signature Project,,,,
1207338575319394,ACE Ascent Phase III,1208709671963773,Started Range,enum,June 2024 - Dec 2024,,,June 2024 - Dec 2024,,,,
1207338575319394,ACE Ascent Phase III,1209308807420092,Post-Project Status,enum,No report produced,,,No report produced,,,,
1207338575319394,ACE Ascent Phase III,1209399038539552,Type of Project,enum,New Course Design,,,New Course Design,,,,
1207338575319394,ACE Ascent Phase III,1209527325029623,Academic Department,enum,ACE,,,ACE,,,,
1207338575319394,ACE Ascent Phase III,1209784442313102,Project Members,people,"Brianna Stines, Matthew Simmons, Colin Gallagher",,,,,,"Brianna Stines, Matthew Simmons, Colin Gallagher",
1207338575319394,ACE Ascent Phase III,1209399337932343,Credit Bearing?,enum,Yes,,,Yes,,,,
1207338575319394,ACE Ascent Phase III,1209399100804462,Estimated T-Shirt Size,enum,XL,,,XL,,,,
1207338575319394,ACE Ascent Phase III,1209399036833272,Actual T-Shirt Size,enum,XL,,,XL,,,,
1207473416887601,Sprint: Interactive (Elena) ,1207760971753571,Progress,enum,Evaluation,,,Evaluation,,,,
1207473416887601,Sprint: Interactive (Elena) ,1207789348846048,Weekly Meeting Status,enum,Evaluation Sent to Faculty,,,Evaluation Sent to Faculty,,,,
1207473416887601,Sprint: Interactive (Elena) ,1207867857544034,Project Point Person,people,Brianna Stines,,,,,,Brianna Stines,
1207473416887601,Sprint: Interactive (Elena) ,1206060337251839,Priority,enum,,,,,,,,
1207473416887601,Sprint: Interactive (Elena) ,1208711651902976,End Date,date,,,,,,,,
1207473416887601,Sprint: Interactive (Elena) ,1208664289280378,Actual time rollup,number,1h 00m,,60,,,,,
1207473416887601,Sprint: Interactive (Elena) ,1207789356643216,Project Type,enum,Summer Sprint,,,Summer Sprint,,,,
1207473416887601,Sprint: Interactive (Elena) ,1208709671963773,Started Range,enum,June 2024 - Dec 2024,,,June 2024 - Dec 2024,,,,
1207728646024488,AI Video Series,1207760971753571,Progress,enum,Pre-Production,,,Pre-Production,,,,
1207728646024488,AI Video Series,1207789356643216,Project Type,enum,Media Only,,,Media Only,,,,
1207728646024488,AI Video Series,1207789348846048,Weekly Meeting Status,enum,On Hold,,,On Hold,,,,
1207728646024488,AI Video Series,1207867857544034,Project Point Person,people,"Kevin DeCloedt, John Corba",,,,,,"Kevin DeCloedt, John Corba",
1207728646024488,AI Video Series,1208664289280378,Actual time rollup,number,3h 00m,,180,,,,,
1207728646024488,AI Video Series,1208709671963773,Started Range,enum,June 2024 - Dec 2024,,,June 2024 - Dec 2024,,,,
1207728646024488,AI Video Series,1208875849398993,ODL Project Status,enum,Complete,,,Complete,,,,
1207728646024488,AI Video Series,1210173296995942,Working Group Project Status,enum,Completed,,,Completed,,,,
1207728646026750,Implicit Bias,1207760971753571,Progress,enum,On Hold,,,On Hold,,,,
1207728646026750,Implicit Bias,1207789348846048,Weekly Meeting Status,enum,On Hold,,,On Hold,,,,
1207728646026750,Implicit Bias,1208875849398993,ODL Project Status,enum,On Hold,,,On Hold,,,,
1207760971753709,Dengue Awareness,1207760971753571,Progress,enum,On Hold,,,On Hold,,,,
1207760971753709,Dengue Awareness,1207789348846048,Weekly Meeting Status,enum,On Hold,,,On Hold,,,,
1207760971753709,Dengue Awareness,1207867857544034,Project Point Person,people,Sonia Howell,,,,,,Sonia Howell,
1207760971753709,Dengue Awareness,1208875849398993,ODL Project Status,enum,On Hold,,,On Hold,,,,
1207760971753716,FCTA - Physics I,1207760971753571,Progress,enum,Design,,,Design,,,,
1207760971753716,FCTA - Physics I,1207789348846048,Weekly Meeting Status,enum,In Progress,,,In Progress,,,,
1207760971753716,FCTA - Physics I,1207867857544034,Project Point Person,people,Brianna Stines,,,,,,Brianna Stines,
1207760971753716,FCTA - Physics I,1206060337251839,Priority,enum,,,,,,,,
1207760971753716,FCTA - Physics I,1208711651902976,End Date,date,,,,,,,,
1207760971753716,FCTA - Physics I,1208664289280378,Actual time rollup,number,4d 9h,,6310,,,,,
1207760971753716,FCTA - Physics I,1207789356643216,Project Type,enum,Signature Project,,,Signature Project,,,,
1207760971753716,FCTA - Physics I,1208709671963773,Started Range,enum,June 2024 - Dec 2024,,,June 2024 - Dec 2024,,,,
1207760971753716,FCTA - Physics I,1208875849398993,ODL Project Status,enum,Complete,,,Complete,,,,
1207760971753716,FCTA - Physics I,1209399038539552,Type of Project,enum,New Course Design,,,New Course Design,,,,
1207760971753716,FCTA - Physics I,1209399337932343,Credit Bearing?,enum,Yes,,,Yes,,,,
1207760971753716,FCTA - Physics I,1209399102904553,Faculty Members,text,Jenna Smith,Jenna Smith,,,,,,
1207760971753716,FCTA - Physics I,1209399100804462,Estimated T-Shirt Size,enum,XL,,,XL,,,,
1207760971753716,FCTA - Physics I,1209399036833272,Actual T-Shirt Size,enum,,,,,,,,
1207760971753716,FCTA - Physics I,1209399099129728,Budget,number,,,,,,,,
1207760971753716,FCTA - Physics I,1209427215212489,Launch Date,multi_enum,,,,,,,,
1207760971753716,FCTA - Physics I,1209427559926066,Modality,multi_enum,,,,,,,,
1207760971753716,FCTA - Physics I,1209427424739041,Platform,multi_enum,,,,,,,,
1207760971753716,FCTA - Physics I,1209427433494706,XR Component,multi_enum,,,,,,,,
1207760971753716,FCTA - Physics I,1209427564982194,External Partner(s),text,,,,,,,,
1207760971753716,FCTA - Physics I,1209427430938675,Intended Audience,multi_enum,,,,,,,,
1207760971753716,FCTA - Physics I,1209427520934105,Project Funding Source,multi_enum,,,,,,,,
1207760971753716,FCTA - Physics I,1209427439080051,Future Iteration,multi_enum,,,,,,,,
1207760971753716,FCTA - Physics I,1209527325029623,Academic Department,enum,Science,,,Science,,,,
1207760971753716,FCTA - Physics I,1209784442313102,Project Members,people,"Kuangchen Hsu, Brianna Stines, Michael Lerma, Kevin DeCloedt, Colin Gallagher",,,,,,"Kuangchen Hsu, Brianna Stines, Michael Lerma, Kevin DeCloedt, Colin Gallagher",
