project_gid,project_name,archived,created_at,start_on,due_on,owner,team,n_tasks,first_completed,last_completed,span_days_completed,span_days_start_due,cf::Progress,cf::Weekly Meeting Status,cf::Project Point Person,cf::Priority,cf::End Date,cf::Actual time rollup,cf::Project Type,cf::Started Range,cf::Post-Project Status,cf::Type of Project,cf::Credit Bearing?,cf::Faculty Members,cf::Estimated T-Shirt Size,cf::Actual T-Shirt Size,cf::Budget,cf::Project Members,cf::Learning Design Rank,cf::Media Ranking,cf::PM Ranking,cf::Academic Department,cf::Working Group Project Status,cf::ODL Project Status,cf::Launch Date,cf::Modality,cf::Platform,cf::XR Component,cf::External Partner(s),cf::Intended Audience,cf::Project Funding Source,cf::Future Iteration,cf::Current Phase,cf::Impact Tracker Status,cf::Estimated time,cf::Stage,cf::Academic Department / Institute,cf::# of Learning Design Responses,cf::# of Media Responses,cf::# of PM Responses,cf::Actual costs (total),cf::Actual time (total),cf::Estimated costs (total),cf::Estimated time (total),cf::NDL Project Status,cf::AMP | Proj. Date to Production,cf::AMP | Actual Date to Production,cf::AMP | Proj. Date to Printer,cf::AMP | Actual Date to Printer,cf::AMP | Proj. Delivery Date,cf::AMP | Actual Delivery Date,cf::Budgeted time,cf::Hi,cf::Custom Start Date
1206407681046274,Summer Online 2024,False,2024-01-22T17:41:53.584Z,,,Brianna Stines,ODL Team,10,2024-01-24T16:26:17.525000+00:00,2024-04-29T18:16:58.040000+00:00,96,,Evaluation,Complete!,Brianna Stines,,,,Signature Project,June 2024 - Dec 2024,No report produced,Special Project / Internal NDL Project,No,n/a,Unique,,,"Brianna Stines, Yi Lu, Kuangchen Hsu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1206425015213615,XR Overview (Spring 24),False,2024-01-24T01:37:10.520Z,,,KC Frye,ODL Team,25,2024-01-24T01:43:21.592000+00:00,2024-01-24T01:51:30.659000+00:00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1206434839973092,Project Requests & Intake ,False,2024-01-24T19:36:25.358Z,,,KC Frye,ODL Team,24,2024-01-30T20:42:18.970000+00:00,2024-02-26T15:57:34.652000+00:00,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1206594949252410,2024 Projects,False,2024-02-13T20:30:19.844Z,,,Salonee Seecharan,ODL Team,38,2024-05-13T18:12:44.452000+00:00,2024-06-27T19:23:56.063000+00:00,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1207278964351685,Asset Spreadsheet Example,False,2024-05-09T17:21:22.628Z,2024-05-02,2024-08-01,KC Frye,ODL Team,1,,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1207338575319394,ACE Ascent Phase III,False,2024-05-16T17:28:15.118Z,,,Salonee Seecharan,ODL Team,50,2024-05-16T17:28:17.870000+00:00,2024-07-26T14:21:21.117000+00:00,71,,Launch,Complete!,Brianna Stines,,,,Signature Project,June 2024 - Dec 2024,No report produced,New Course Design,Yes,,XL,XL,,"Brianna Stines, Matthew Simmons, Colin Gallagher",,,,ACE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1207375113405523,(Umich) Asset Spreadsheet Example,False,2024-05-21T19:48:12.546Z,,,KC Frye,ODL Team,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1207473416887601,Sprint: Interactive (Elena) ,False,2024-06-03T16:52:33.146Z,,,Salonee Seecharan,ODL Team,14,2024-06-03T16:52:36.027000+00:00,2024-09-09T01:56:37.351000+00:00,98,,Evaluation,Evaluation Sent to Faculty,Brianna Stines,,,1h 00m,Summer Sprint,June 2024 - Dec 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1207657473376029,Test,False,2024-06-25T15:14:45.778Z,,,Salonee Seecharan,ODL Team,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1207728646024488,AI Video Series,False,2024-07-05T14:33:26.866Z,2024-07-05,2024-08-20,Michael Lerma,ODL Team,76,2024-07-05T15:41:26.268000+00:00,2024-11-04T14:49:31.329000+00:00,122,46,Pre-Production,On Hold,"Kevin DeCloedt, John Corba",,,3h 00m,Media Only,June 2024 - Dec 2024,,,,,,,,,,,,,Completed,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1207728646026750,Implicit Bias,False,2024-07-05T16:24:26.604Z,,,Michael Lerma,ODL Team,0,,,,,On Hold,On Hold,,,,,,,,,,,,,,,,,,,,On Hold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1207760971753697,Test,False,2024-07-10T15:03:00.786Z,,,Michael Lerma,ODL Team,1,2024-07-15T19:18:58.407000+00:00,2024-07-15T19:18:58.407000+00:00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1207760971753709,Dengue Awareness,False,2024-07-11T01:04:58.636Z,,,Michael Lerma,ODL Team,0,,,,,On Hold,On Hold,Sonia Howell,,,,,,,,,,,,,,,,,,,On Hold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
