section_name,n_tasks
Untitled section,549
Design,505
Pre-Production,424
Analysis,270
PM Time Tracking,267
Design Development,216
Production,211
Post-Project Evaluation,199
Post-Production,198
Post-Production / Design Development,171
PM Time Tracking: Lawrence,162
Media Assets,76
Media Timetracking,50
Project Reflection Reports,42
Launch / Post-Launch,40
Video,38
Lawrence - Completed,31
Christmyer Front Cover,28
Leader's Guide,28
Summer Online: Lawrence PM Time,26
Front Cover,26
Consultations,25
Video 2 - Lessons From the Saints,23
Development,20
AI Working Group,20
Phase 2: Pilot Implementation,18
ODL Retreat and Goals Follow Up: PM Time Lawrence,18
Coursera Tracking: PM Time Lawrence,18
Incoming Projects from Work With Us,17
Projects,17
Rocking Rockers Simulation,17
Digital Learning Sprints 2025,16
Released,15
Digital Learning Day/Support Michael: PM Time Lawrence,15
Michael - In Progress,14
Phase 3: Analysis and Improvement,13
Create project - LAITL,13
"Charter, SOP, and Google Drive Clean Up: PM Time Lawrence",13
ASCEND Mendoza: PM Time Lawrence,13
To do,12
Phase 1: Planning and Framework Development,12
Metrics Tracking FY26: PM Time Lawrence,12
Summer Intern Hiring Process,12
ECG Videos,12
Christmyer Full Cover,12
Full Cover,12
Resolved,11
Media,11
Launch,11
Post Production,11
Animation & Graphic Design,11
Christmyer Book Description,11
Christmyer PO,11
Book Description,11
PO,11
Design - Course Design & Development,11
Video 1 - The Term Disability,11
Video 3 - Name TBD,11
Video 4 - Salt & Light,11
Video 1: Opening the Dialogue on AI in Education - Ron Metoyer,10
Video 2:  Generative AI Overview - John Behrens,10
Video 3:  Intro to Text to Text Systems - John Behrens,10
Video 5:  Navigating AI Tools with Integrity in Academia - Ardea Russo,10
Video 6:  AI Literacy/Preparing Students for an AI Driven Future - Karla Badillo / Roberto Casarez,10
Video 7:  Addressing Writing / AI-assisted Writing,10
Video 8:  Best Practices for Assessment in the Age of AI - Alex Ambrose,10
Christmyer Printing,10
Printing,10
Media - Pre-production,10
Video 1: Safety Walkthrough,10
Video 2: Bandsaw,10
Video 3: Drill Press,10
Video 4:  Belt & Disc Sander,10
Video 5: Scheduling,10
Video 6: Hand & Power Tools,10
3B Revamp,10
Sprints,9
Media Time Tracking,9
Content Redesign,9
Design Geometry and Measurement,8
Post Project Evaluation,8
Create Survey,8
Michael - Completed,8
Christmyer First Proofs,8
Design Algebra and Function,8
Misc,7
Classroom Experiences,7
Design Leadership IIIa,7
Delivery,7
Videos,7
Final Surveys,7
Asana Tasks,7
Project Tasks,7
POST-PRODUCTION,7
Traditional Media Totals (per 1 video),7
Professional Development,7
Media Timetracking (2026),7
Christmyer Author Bio,7
Christmyer Back Cover Copy & Interior Endorsements,7
Author Bio,7
Back Cover Copy & Interior Endorsements,7
Design Ratio and Proportion,7
Design Leadership IIIb,7
Migration,6
Ascent,6
Radio Systems,6
Pre-Production Geometry and Measurement,6
Video 4:  Generating Prompts for Text to Text Systems & Demo - John Behrens,6
Learning Analytics Working Group,6
Daily Tracking,6
Special Projects,6
ODL / NDL Business,6
Christmyer Author Mailings,6
First Proofs,6
Development Before Playtesting,6
Summer Online Prep,6
Pre-Production Algebra and Function,6
Post-ProductionAlgebra and Function,6
Development Projects,5
Phase 2: Content Development,5
Canvas Build,5
Course Planning,5
Assorted PM tasks,5
XR & Interactives,5
Calc I: Week of 1/13,5
Milestones,5
Content Expansion,5
Christmyer Copyediting,5
Christmyer Third Proofs,5
Copyediting,5
Third Proofs,5
Design Leadership II,5
Media - Graphics,5
Memory Palace: Interscene Environment,5
"Lesson 1: Terps, Quays, and Green Open Spaces",5
Lesson 2: Energy Efficient Design and Construction,5
Lesson 3: Sustainable Building Material,5
Lesson 4: Efficient and Renewable Energy Supply ,5
Lesson 5: Low Carbon Transportation / Diverse Mobility Methods,5
Finished / Summer Tasks,5
Final Development items (Spring),5
Course Map,5
Tech Demos,4
Inclusivity,4
Production Geometry and Measurement,4
Post-Production Geometry and Measurement,4
Animation/Graphics Geometry and Measurement,4
Animation Leadership IIIa,4
Post-Production Leadership IIIa,4
Genially Build,4
Launch / Evaluation,4
Military Testimonials,4
Received Requests - Triage Needed,4
Reached out - No response,4
Writing,4
Course Design,4
Planning Phase,4
Media Timetracking (Matthew),4
Completed Discovery Form,4
3D Environments: Week of 1/13,4
SOP Update,4
Christmyer ePub,4
Endorsements,4
ePub,4
Pre-Production Ratio and Proportion,4
Post-Production Ratio and Proportion,4
Pre-Production Leadership II,4
Post-Production Leadership II,4
Media - Post-production,4
Benchmarking,4
Workshops,4
Courses Begin,4
Usability Testing,4
Instructor Support,3
Development Geometry and Measurement,3
Pre-Production Leadership IIIa,3
Development Leadership IIIa,3
Prof. Chen's NSF Proposal,3
ITAO Canvas Cidi Labs Templates,3
On Hold,3
Phase 1: Planning,3
Graphics,3
Course Development ,3
PM Backlog,3
Template,3
Sonia 1 : 1: Week of 1/13,3
3 Title Cards,3
Horizon Report 2025: PM Time Lawrence,3
Supervising Janyl,3
PM FY '26 Goals PM Time: Lawrence,3
Core Gameplay Loop,3
Polish and QA Testing,3
Leadership Review or Approval Needed,3
Version 2 of Video,3
Accessibility Docs,3
Survey Response,3
Christmyer Manuscript,3
Christmyer Second Proofs,3
Christmyer Endorsements,3
Manuscript,3
Second Proofs,3
Design - Interactives,3
Media - Production,3
Media Pre-Production,3
Animation,3
Post Evaluation,3
Production Algebra and Function,3
Development Algebra and Function,3
Pre-Production Leadership IIIb,3
Production Leadership IIIb,3
Development Leadership IIIb,3
In Queue,2
Nathaniel,2
Prof. Yi-Ting Hsu's Video Creation Needs,2
Animation/Graphics,2
Create Project - Kaneb Center,2
Create Project - Fast Tracked,2
Data Synthesis,2
QA,2
Goal development,2
Monitor Responses,2
Need to Book,2
Reject,2
Project Created,2
Personal,2
AI for the Notre Dame Community,2
Final Report,2
NDL Working Groups,2
Supervising Min,2
ODL Project Data Points,2
Capacity Tracking: PM Time Lawrence,2
Core Framework,2
Under Review by Unit,2
Christmyer Title,2
Christmyer Ad,2
Meetings,2
Title,2
Ad,2
Production Ratio and Proportion,2
Production Leadership II,2
Template instructions,2
To-Do,2
Testing w/students around fall break,2
Regroup,2
Post-Production Leadership IIIb,2
Coursera Site,2
Complete,1
Testimonials,1
Gabriel Reynolds Udemy Course,1
Circulation,1
Clean up Data,1
Improvement Plans,1
Valya's Post-Production Work,1
Adam's Post-Production Work,1
Graphics Toolkit,1
Travel SOPs,1
Proofreading: PM Time--Lawrence,1
Professional Development Time: Lawrence,1
NDL Intake Process,1
EDUCAUSE Prep,1
Session 1,1
Supporting Derrick,1
LD Time,1
PM Time,1
Incoming Requests,1
Completed,1
Christmyer Launch,1
Christmyer Prepare for Production,1
Christmyer Imprimatur,1
Christmyer CIP,1
Christmyer Sage,1
Sage,1
Author Mailings,1
Prepare for Production,1
Imprimatur,1
CIP,1
In Production,1
In Review,1
Approved,1
Implementation,1
Working on,1
Consutlation,1
