project_gid,project_name,task_gid,task_name,section,canonical_phase,custom_field_gid,custom_field_name,resource_subtype,display_value,text_value,number_value,enum_value,multi_enum_values,date_value,people_value,reference_value
1206434839973092,Project Requests & Intake ,1206434840077301,1000 Cuts for Moreau,Untitled section,Untitled section,1206434839973101,Status,enum,Vetting,,,Vetting,,,,
1206434839973092,Project Requests & Intake ,1206434840077301,1000 Cuts for Moreau,Untitled section,Untitled section,1206434839973111,Project Type,enum,XR,,,XR,,,,
1206434839973092,Project Requests & Intake ,1206434840077301,1000 Cuts for Moreau,Untitled section,Untitled section,1206434840077342,Form,enum,Work With Us,,,Work With Us,,,,
1206434839973092,Project Requests & Intake ,1206434839973095,ODL Consultation with Chris Frederick (Data Science),Untitled section,Untitled section,1206434839973101,Status,enum,Complete,,,Complete,,,,
1206434839973092,Project Requests & Intake ,1206434839973095,ODL Consultation with Chris Frederick (Data Science),Untitled section,Untitled section,1206434839973111,Project Type,enum,Consultation,,,Consultation,,,,
1206434839973092,Project Requests & Intake ,1206434839973095,ODL Consultation with Chris Frederick (Data Science),Untitled section,Untitled section,1206434840077342,Form,enum,Work With Us,,,Work With Us,,,,
1206434839973092,Project Requests & Intake ,1206434839973097,Mary Scott,Untitled section,Untitled section,1206434839973101,Status,enum,Complete,,,Complete,,,,
1206434839973092,Project Requests & Intake ,1206434839973097,Mary Scott,Untitled section,Untitled section,1206434839973111,Project Type,enum,Media,,,Media,,,,
1206434839973092,Project Requests & Intake ,1206434839973097,Mary Scott,Untitled section,Untitled section,1206434840077342,Form,enum,Current Project,,,Current Project,,,,
1206434839973092,Project Requests & Intake ,1206434839973108,Media Entrepreneurship (Chris Hedlin),Untitled section,Untitled section,1206434839973101,Status,enum,Complete,,,Complete,,,,
1206434839973092,Project Requests & Intake ,1206434839973108,Media Entrepreneurship (Chris Hedlin),Untitled section,Untitled section,1206434839973111,Project Type,enum,XR,,,XR,,,,
1206434839973092,Project Requests & Intake ,1206434839973108,Media Entrepreneurship (Chris Hedlin),Untitled section,Untitled section,1206434840077342,Form,enum,,,,,,,,
1206434839973092,Project Requests & Intake ,1206434839973117,Tim Hubbard RITEL ,Untitled section,Untitled section,1206434839973101,Status,enum,Complete,,,Complete,,,,
1206434839973092,Project Requests & Intake ,1206434839973117,Tim Hubbard RITEL ,Untitled section,Untitled section,1206434839973111,Project Type,enum,XR,,,XR,,,,
1206434839973092,Project Requests & Intake ,1206434839973117,Tim Hubbard RITEL ,Untitled section,Untitled section,1206434840077342,Form,enum,Current Project,,,Current Project,,,,
1206434839973092,Project Requests & Intake ,1206434840077285,Amanda McKendree Crisis Communications,Untitled section,Untitled section,1206434839973101,Status,enum,Complete,,,Complete,,,,
1206434839973092,Project Requests & Intake ,1206434840077285,Amanda McKendree Crisis Communications,Untitled section,Untitled section,1206434839973111,Project Type,enum,XR,,,XR,,,,
1206434839973092,Project Requests & Intake ,1206434840077285,Amanda McKendree Crisis Communications,Untitled section,Untitled section,1206434840077342,Form,enum,Current Project,,,Current Project,,,,
1206434839973092,Project Requests & Intake ,1206434840077289,Tim Hubbard Boardroom Sim.,Untitled section,Untitled section,1206434839973101,Status,enum,Complete,,,Complete,,,,
